order_id,customer_id,name,category,sub_category,city,date,region,unit_price,total_Sales,units_sold,discount_rate,profits,month,seasonality,mode_of_transaction ,marketting_id,inventory_level,revenue,employement_status,employee_id 
O014,C014,Sundar,Fruits & Veggies,Organic Fruits,Pudukottai,11-03-2015,West,300,1200,4,0.1,113,3,No festival,Offline,200196,3,1080,employed,14
O015,C015,Ram,"Eggs, Meat & Fish",Fish,Kanyakumari,11-03-2015,South,600,1200,2,0.32,105,3,No festival,Online,200196,4,816,employed,1
O016,C016,Malik,Oil & Masala,Masalas,Namakkal,11-03-2015,South,50,1200,24,0.34,166,3,No festival,Offline,200196,2,792,unemployed,13
O017,C017,Esther,Bakery,Breads & Buns,Namakkal,11-03-2015,East,30,1170,39,0.24,120,3,No festival,Online,200196,1,889.2,unemployed,7
O018,C018,Komal,"Eggs, Meat & Fish",Mutton,Bodi,11-03-2015,East,400,1200,3,0.1,175,3,No festival,Offline,200196,4,1080,employed,3
O019,C019,Amy,Bakery,Cakes,Tirunelveli,11-03-2015,East,300,1200,4,0.25,162,3,No festival,Offline,200196,1,900,unemployed,17
O020,C020,Amy,Oil & Masala,Edible Oil & Ghee,Virudhunagar,14-03-2015,Central,800,1600,2,0.21,156,3,No festival,Offline,200196,2,1264,employed,7
O021,C021,Ganesh,Bakery,Biscuits,Krishnagiri,14-03-2015,West,20,1000,50,0.18,191,3,No festival,Online,200196,1,820,employed,9
O022,C022,Sundar,Beverages,Soft Drinks,Ooty,14-03-2015,West,20,1340,67,0.2,161,3,No festival,Online,200196,1,1072,unemployed,20
O023,C023,Ravi,Bakery,Biscuits,Dharmapuri,14-03-2015,South,20,1320,66,0.22,173,3,No festival,Offline,200196,1,1029.6,employed,10
O24,C24,Roshan,"Eggs, Meat & Fish",Chicken,Kanyakumari,14-03-2015,West,200,1200,6,0.32,112,3,No festival,Online,200196,4,816,employed,7
O025,C025,Ramesh,Beverages,Health Drinks,Theni,14-03-2015,South,100,1200,12,0.16,127,3,No festival,Online,200196,1,1008,employed,19
O026,C026,Sabeela,Oil & Masala,Edible Oil & Ghee,Salem,14-03-2015,Central,800,800,1,0.15,118,3,No festival,Offline,200196,2,680,employed,14
O027,C027,Sheeba,"Eggs, Meat & Fish",Fish,Ooty,14-03-2015,West,600,1200,2,0.1,189,3,No festival,Online,200196,4,1080,unemployed,10
O028,C028,Peer,Fruits & Veggies,Fresh Vegetables,Dindigul,14-03-2015,West,70,1050,15,0.11,174,3,No festival,Offline,200196,3,934.5,employed,3
O029,C029,Ramesh,Beverages,Health Drinks,Bodi,14-03-2015,West,100,1300,13,0.27,181,3,No festival,Online,200196,1,949,employed,14
O030,C030,Harish,Oil & Masala,Spices,Theni,14-03-2015,West,50,1250,25,0.16,155,3,No festival,Online,200196,2,1050,employed,10
O031,C031,Ravi,Oil & Masala,Spices,Perambalur,15-03-2015,South,50,1200,24,0.2,141,3,No festival,Online,200196,2,960,unemployed,2
O032,C032,Yusuf,Beverages,Soft Drinks,Pudukottai,15-03-2015,South,20,1000,50,0.21,179,3,No festival,Offline,200196,1,790,unemployed,5
O033,C033,Ram,Snacks,Noodles,Tirunelveli,15-03-2015,South,100,1000,10,0.3,165,3,No festival,Online,200196,1,700,unemployed,12
O034,C034,James,Beverages,Health Drinks,Salem,15-03-2015,South,100,1300,13,0.17,199,3,No festival,Offline,200196,1,1079,employed,14
O035,C035,Peer,Beverages,Health Drinks,Viluppuram,15-03-2015,South,100,1200,12,0.33,149,3,No festival,Offline,200196,1,804,unemployed,1
O036,C036,Kumar,Snacks,Noodles,Coimbatore,16-03-2015,South,100,1100,11,0.33,151,3,No festival,Online,200196,1,737,unemployed,4
O037,C037,Komal,Beverages,Health Drinks,Trichy,17-03-2015,Central,100,1300,13,0.35,173,3,No festival,Online,200196,1,845,unemployed,17
O038,C038,Ravi,Snacks,Noodles,Pudukottai,17-03-2015,East,100,1200,12,0.1,154,3,No festival,Offline,200196,1,1080,employed,3
O039,C039,Jonas,"Eggs, Meat & Fish",Fish,Chennai,17-03-2015,Central,600,1200,2,0.23,110,3,No festival,Offline,200196,4,924,employed,1
O040,C040,Arvind,Bakery,Cakes,Dindigul,17-03-2015,Central,300,1200,4,0.31,124,3,No festival,Offline,200196,1,828,unemployed,13
O041,C041,Akash,Oil & Masala,Spices,Ooty,17-03-2015,Central,50,1350,27,0.18,184,3,No festival,Online,200196,2,1107,employed,20
O042,C042,Muneer,Oil & Masala,Masalas,Kanyakumari,17-03-2015,East,50,1100,22,0.22,104,3,No festival,Offline,200196,2,858,unemployed,19
O043,C043,Jackson,Beverages,Health Drinks,Kanyakumari,17-03-2015,South,100,1200,12,0.13,102,3,No festival,Offline,200196,1,1044,employed,11
O044,C044,Sudha,Beverages,Health Drinks,Vellore,17-03-2015,Central,100,1300,13,0.25,166,3,No festival,Online,200196,1,975,employed,19
O045,C045,Hussain,Bakery,Biscuits,Viluppuram,17-03-2015,Central,20,1200,60,0.24,132,3,No festival,Offline,200196,1,912,employed,16
O046,C046,Vinne,Beverages,Health Drinks,Trichy,17-03-2015,South,100,1000,10,0.14,103,3,No festival,Online,200196,1,860,employed,2
O047,C047,Jonas,Oil & Masala,Masalas,Vellore,17-03-2015,East,50,1050,21,0.14,181,3,No festival,Online,200196,2,903,employed,13
O048,C048,Krithika,"Eggs, Meat & Fish",Mutton,Trichy,17-03-2015,East,400,1200,3,0.15,187,3,No festival,Offline,200196,4,1020,employed,18
O049,C049,Arutra,Snacks,Cookies,Coimbatore,17-03-2015,South,30,1290,43,0.16,103,3,No festival,Online,200196,1,1083.6,unemployed,3
O050,C050,Yadav,Snacks,Noodles,Kanyakumari,17-03-2015,Central,100,1300,13,0.19,165,3,No festival,Online,200196,1,1053,employed,15
O051,C051,Alan,Fruits & Veggies,Organic Vegetables,Kanyakumari,17-03-2015,South,200,1400,7,0.17,125,3,No festival,Offline,200196,3,1162,employed,15
O052,C052,Ramesh,Food Grains,Organic Staples,Namakkal,17-03-2015,East,100,1100,11,0.24,177,3,No festival,Offline,200196,5,836,unemployed,1
O053,C053,Willams,Fruits & Veggies,Organic Vegetables,Nagercoil,17-03-2015,Central,200,1200,6,0.1,160,3,No festival,Online,200196,3,1080,unemployed,18
O054,C054,Vidya,"Eggs, Meat & Fish",Chicken,Krishnagiri,17-03-2015,South,200,1200,6,0.25,189,3,No festival,Online,200196,4,900,unemployed,15
O055,C055,Komal,Oil & Masala,Masalas,Dindigul,17-03-2015,East,50,1050,21,0.34,139,3,No festival,Offline,200196,2,693,unemployed,8
O056,C056,Anu,Beverages,Soft Drinks,Kanyakumari,18-03-2015,South,20,1220,61,0.23,197,3,No festival,Offline,200196,1,939.4,employed,10
O057,C057,Veronica,Fruits & Veggies,Fresh Vegetables,Dindigul,18-03-2015,South,70,1260,18,0.11,117,3,No festival,Online,200196,3,1121.4,employed,19
O058,C058,Amrish,Snacks,Cookies,Pudukottai,18-03-2015,South,30,1200,40,0.21,161,3,No festival,Offline,200196,1,948,unemployed,6
O059,C059,Esther,Snacks,Chocolates,Madurai,18-03-2015,West,10,1120,112,0.31,188,3,No festival,Offline,200196,1,772.8,unemployed,5
O060,C060,Esther,Snacks,Chocolates,Theni,18-03-2015,West,10,1110,111,0.25,129,3,No festival,Online,200196,1,832.5,employed,2
O061,C061,Ravi,Snacks,Chocolates,Madurai,18-03-2015,West,10,1020,102,0.22,140,3,No festival,Online,200196,1,795.6,employed,11
O062,C062,Verma,Bakery,Cakes,Madurai,18-03-2015,West,300,1200,4,0.31,144,3,No festival,Offline,200196,1,828,employed,4
O063,C063,Amrish,Snacks,Noodles,Nagercoil,18-03-2015,South,100,1100,11,0.14,142,3,No festival,Online,200196,1,946,unemployed,11
O064,C064,Yadav,Oil & Masala,Spices,Coimbatore,18-03-2015,South,50,1250,25,0.14,185,3,No festival,Offline,200196,2,1075,employed,16
O065,C065,Jonas,"Eggs, Meat & Fish",Eggs,Coimbatore,18-03-2015,South,6,1110,185,0.2,181,3,No festival,Offline,200196,4,888,unemployed,15
O066,C066,Haseena,Fruits & Veggies,Organic Vegetables,Chennai,18-03-2015,South,200,1200,6,0.23,165,3,No festival,Online,200196,3,924,unemployed,16
O067,C067,Aditi,Beverages,Soft Drinks,Tenkasi,19-03-2015,South,20,1140,57,0.14,131,3,No festival,Online,200196,1,980.4,employed,9
O068,C068,Hafiz,"Eggs, Meat & Fish",Eggs,Tenkasi,19-03-2015,South,6,1290,215,0.29,138,3,No festival,Online,200196,4,915.9,employed,10
O069,C069,Amrish,Bakery,Cakes,Theni,19-03-2015,South,300,1200,4,0.14,121,3,No festival,Offline,200196,1,1032,unemployed,2
O070,C070,Arutra,Beverages,Soft Drinks,Theni,19-03-2015,South,20,1080,54,0.24,151,3,No festival,Online,200196,1,820.8,unemployed,14
O071,C071,Aditi,Bakery,Cakes,Viluppuram,19-03-2015,South,300,1200,4,0.2,182,3,No festival,Offline,200196,1,960,employed,8
O072,C072,Alan,Fruits & Veggies,Fresh Vegetables,Karur,19-03-2015,South,70,1190,17,0.28,129,3,No festival,Offline,200196,3,856.8,employed,16
O073,C073,Amy,Bakery,Biscuits,Trichy,19-03-2015,South,20,1000,50,0.22,100,3,No festival,Online,200196,1,780,unemployed,8
O074,C074,Veena,Beverages,Soft Drinks,Madurai,21-03-2015,South,20,1300,65,0.34,157,3,No festival,Online,200196,1,858,employed,18
O075,C075,Shree,Food Grains,Organic Staples,Ooty,21-03-2015,South,100,1200,12,0.17,196,3,No festival,Offline,200196,5,996,employed,9
O076,C076,Adavan,"Eggs, Meat & Fish",Mutton,Trichy,21-03-2015,South,400,1200,3,0.11,137,3,No festival,Offline,200196,4,1068,unemployed,17
O077,C077,Harish,Snacks,Chocolates,Madurai,21-03-2015,South,10,1150,115,0.11,136,3,No festival,Offline,200196,1,1023.5,employed,9
O078,C078,Rumaiza,Bakery,Breads & Buns,Namakkal,21-03-2015,South,30,1290,43,0.11,133,3,No festival,Offline,200196,1,1148.1,unemployed,8
O079,C079,Sudeep,Bakery,Breads & Buns,Karur,21-03-2015,East,30,1140,38,0.16,178,3,No festival,Offline,200196,1,957.6,employed,6
O080,C080,Vinne,Fruits & Veggies,Fresh Vegetables,Perambalur,21-03-2015,South,70,1050,15,0.34,106,3,No festival,Offline,200196,3,693,employed,5
O081,C081,Veena,Snacks,Noodles,Perambalur,21-03-2015,South,100,1300,13,0.13,169,3,No festival,Offline,200196,1,1131,employed,1
O082,C082,Sundar,Oil & Masala,Edible Oil & Ghee,Theni,21-03-2015,East,800,1600,2,0.25,142,3,No festival,Online,200196,2,1200,employed,4
O083,C083,Aditi,Snacks,Noodles,Viluppuram,21-03-2015,South,100,1100,11,0.21,187,3,No festival,Online,200196,1,869,employed,17
O084,C084,Ramesh,Snacks,Cookies,Madurai,21-03-2015,South,30,1230,41,0.25,116,3,No festival,Online,200196,1,922.5,employed,14
O085,C085,Suresh,Bakery,Biscuits,Virudhunagar,22-03-2015,South,20,1260,63,0.21,171,3,No festival,Offline,200196,1,995.4,unemployed,18
O086,C086,Ramesh,Food Grains,Organic Staples,Nagercoil,22-03-2015,South,100,1100,11,0.26,110,3,No festival,Online,200196,5,814,employed,20
O087,C087,Arutra,Oil & Masala,Masalas,Salem,22-03-2015,West,50,1300,26,0.17,138,3,No festival,Online,200196,2,1079,unemployed,3
O088,C088,Arvind,Bakery,Cakes,Chennai,22-03-2015,Central,300,1200,4,0.2,168,3,No festival,Offline,200196,1,960,employed,18
O089,C089,Verma,Fruits & Veggies,Fresh Vegetables,Trichy,22-03-2015,West,70,1260,18,0.31,108,3,No festival,Offline,200196,3,869.4,unemployed,17
O090,C090,Kumar,Food Grains,Atta & Flour,Tirunelveli,23-03-2015,South,40,1120,28,0.24,189,3,No festival,Online,200196,5,851.2,unemployed,4
O091,C091,Esther,Beverages,Soft Drinks,Salem,23-03-2015,West,20,1080,54,0.11,146,3,No festival,Offline,200196,1,961.2,unemployed,12
O092,C092,Shah,Food Grains,Organic Staples,Virudhunagar,23-03-2015,West,100,1200,12,0.35,124,3,No festival,Offline,200196,5,780,unemployed,14
O093,C093,Sheeba,Oil & Masala,Spices,Bodi,24-03-2015,East,50,1150,23,0.17,112,3,No festival,Online,200196,2,954.5,unemployed,4
O094,C094,Rumaiza,"Eggs, Meat & Fish",Mutton,Karur,24-03-2015,West,400,1200,3,0.2,107,3,No festival,Offline,200196,4,960,unemployed,13
O095,C095,Peer,Fruits & Veggies,Fresh Vegetables,Nagercoil,25-03-2015,West,70,1260,18,0.34,149,3,No festival,Offline,200196,3,831.6,employed,19
O096,C096,Muneer,Beverages,Health Drinks,Coimbatore,25-03-2015,West,100,1100,11,0.25,161,3,No festival,Online,200196,1,825,employed,9
O097,C097,Sabeela,"Eggs, Meat & Fish",Eggs,Theni,25-03-2015,West,6,1032,172,0.27,180,3,No festival,Offline,200196,4,753.36,unemployed,16
O098,C098,Arutra,Bakery,Biscuits,Kanyakumari,25-03-2015,East,20,1040,52,0.18,141,3,No festival,Offline,200196,1,852.8,unemployed,8
O099,C099,Vince,Beverages,Health Drinks,Ooty,25-03-2015,West,100,1300,13,0.29,160,3,No festival,Offline,200196,1,923,unemployed,7
O100,C100,Amrish,Food Grains,Rice,Dharmapuri,26-03-2015,West,800,1600,2,0.3,113,3,No festival,Online,200196,5,1120,employed,5
O101,C101,Suresh,"Eggs, Meat & Fish",Fish,Salem,26-03-2015,West,600,1200,2,0.35,192,3,No festival,Offline,200196,4,780,unemployed,3
O102,C102,Vince,Fruits & Veggies,Fresh Fruits,Coimbatore,26-03-2015,West,190,1140,6,0.33,142,3,No festival,Online,200196,3,763.8,employed,19
O103,C103,Rumaiza,Beverages,Health Drinks,Dindigul,26-03-2015,West,100,1100,11,0.26,109,3,No festival,Offline,200196,1,814,employed,3
O104,C104,Adavan,Beverages,Health Drinks,Ramanadhapuram,26-03-2015,West,100,1300,13,0.11,153,3,No festival,Offline,200196,1,1157,unemployed,14
O105,C105,Anu,Beverages,Health Drinks,Chennai,28-03-2015,West,100,1300,13,0.11,127,3,No festival,Offline,200196,1,1157,unemployed,2
O106,C106,Harish,"Eggs, Meat & Fish",Chicken,Salem,28-03-2015,Central,200,1400,7,0.3,158,3,No festival,Offline,200196,4,980,unemployed,4
O107,C107,Jonas,Fruits & Veggies,Fresh Vegetables,Kanyakumari,28-03-2015,Central,70,1120,16,0.21,117,3,No festival,Online,200196,3,884.8,employed,13
O108,C108,Krithika,Oil & Masala,Edible Oil & Ghee,Theni,28-03-2015,East,800,1600,2,0.1,171,3,No festival,Offline,200196,2,1440,unemployed,1
O109,C109,Ganesh,Food Grains,Atta & Flour,Dindigul,29-03-2015,Central,40,1160,29,0.32,122,3,No festival,Offline,200196,5,788.8,employed,14
O110,C110,Kumar,Bakery,Cakes,Kanyakumari,30-03-2015,West,300,1200,4,0.3,110,3,No festival,Online,200196,1,840,employed,3
O111,C111,Malik,Oil & Masala,Edible Oil & Ghee,Trichy,30-03-2015,West,800,1600,2,0.29,123,3,No festival,Online,200196,2,1136,employed,1
O112,C112,Sabeela,Fruits & Veggies,Fresh Vegetables,Nagercoil,30-03-2015,Central,70,1050,15,0.35,173,3,No festival,Offline,200196,3,682.5,unemployed,15
O113,C113,Ram,Fruits & Veggies,Fresh Vegetables,Karur,30-03-2015,West,70,1050,15,0.26,126,3,No festival,Online,200196,3,777,employed,6
O114,C114,Aditi,Food Grains,Organic Staples,Theni,30-03-2015,Central,100,1100,11,0.14,114,3,No festival,Online,200196,5,946,employed,11
O115,C115,Willams,Beverages,Soft Drinks,Namakkal,30-03-2015,East,20,1260,63,0.22,164,3,No festival,Offline,200196,1,982.8,unemployed,9
O116,C116,Ram,Oil & Masala,Edible Oil & Ghee,Ramanadhapuram,30-03-2015,East,800,1600,2,0.28,194,3,No festival,Offline,200196,2,1152,unemployed,14
O117,C117,Malik,Food Grains,Organic Staples,Tirunelveli,30-03-2015,Central,100,1100,11,0.3,102,3,No festival,Offline,200196,5,770,employed,7
O118,C118,Sudha,Beverages,Health Drinks,Kanyakumari,30-03-2015,Central,100,1200,12,0.3,166,3,No festival,Online,200196,1,840,unemployed,6
O119,C119,Sudeep,Snacks,Noodles,Krishnagiri,31-03-2015,East,100,1300,13,0.27,189,3,No festival,Online,200196,1,949,employed,20
O120,C120,Sheeba,Food Grains,Dals & Pulses,Namakkal,31-03-2015,Central,900,900,1,0.13,138,3,No festival,Offline,200196,5,783,unemployed,1
O121,C121,Shah,Oil & Masala,Masalas,Tenkasi,31-03-2015,West,50,1150,23,0.23,162,3,No festival,Offline,200196,2,885.5,unemployed,14
O122,C122,Yusuf,Snacks,Noodles,Trichy,31-03-2015,West,100,1000,10,0.25,126,3,No festival,Offline,200196,1,750,unemployed,5
O123,C123,Shah,Beverages,Health Drinks,Tenkasi,31-03-2015,South,100,1200,12,0.21,139,3,No festival,Offline,200196,1,948,unemployed,11
O124,C124,Arvind,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,31-03-2015,Central,190,1140,6,0.17,131,3,No festival,Online,200196,3,946.2,employed,9
O125,C125,Veronica,Fruits & Veggies,Fresh Vegetables,Cumbum,31-03-2015,South,70,1190,17,0.1,177,3,No festival,Offline,200196,3,1071,employed,11
O126,C126,Amrish,Oil & Masala,Spices,Salem,31-03-2015,South,50,1150,23,0.23,132,3,No festival,Online,200196,2,885.5,unemployed,16
O127,C127,Willams,"Eggs, Meat & Fish",Mutton,Trichy,31-03-2015,South,400,1200,3,0.14,100,3,No festival,Offline,200196,4,1032,employed,9
O128,C128,Adavan,Oil & Masala,Masalas,Perambalur,01-04-2015,East,50,2900,58,0.11,1374,4,No festival,Offline,200195,2,2581,employed,1
O129,C129,Shah,Oil & Masala,Masalas,Ramanadhapuram,01-04-2015,West,50,2850,57,0.27,1007,4,No festival,Online,200195,2,2080.5,employed,10
O130,C130,Veronica,Beverages,Health Drinks,Bodi,01-04-2015,East,100,3300,33,0.3,1116,4,No festival,Online,200195,1,2310,unemployed,20
O131,C131,Jackson,"Eggs, Meat & Fish",Chicken,Karur,01-04-2015,West,200,2800,14,0.15,1181,4,No festival,Offline,200195,4,2380,employed,12
O132,C132,Aditi,Snacks,Cookies,Dindigul,02-04-2015,Central,30,3330,111,0.33,1033,4,No festival,Online,200195,1,2231.1,unemployed,14
O133,C133,Adavan,Fruits & Veggies,Fresh Fruits,Tirunelveli,02-04-2015,South,190,2660,14,0.27,1210,4,No festival,Offline,200195,3,1941.8,unemployed,9
O134,C134,Adavan,Oil & Masala,Spices,Karur,02-04-2015,South,50,2750,55,0.32,1070,4,No festival,Offline,200195,2,1870,unemployed,16
O135,C135,Adavan,Oil & Masala,Masalas,Ramanadhapuram,02-04-2015,South,50,3050,61,0.35,1095,4,No festival,Offline,200195,2,1982.5,employed,8
O136,C136,Yusuf,Beverages,Health Drinks,Krishnagiri,02-04-2015,South,100,2900,29,0.23,1270,4,No festival,Offline,200195,1,2233,employed,2
O137,C137,Ridhesh,Snacks,Chocolates,Vellore,02-04-2015,Central,10,2790,279,0.22,1334,4,No festival,Online,200195,1,2176.2,employed,11
O138,C138,Alan,"Eggs, Meat & Fish",Eggs,Bodi,03-04-2015,West,6,2928,488,0.1,1314,4,No festival,Offline,200195,4,2635.2,employed,6
O139,C139,Ridhesh,Fruits & Veggies,Organic Fruits,Trichy,03-04-2015,West,300,2700,9,0.23,1373,4,No festival,Offline,200195,3,2079,employed,8
O140,C140,Jonas,Oil & Masala,Spices,Dharmapuri,03-04-2015,West,50,3100,62,0.17,1335,4,No festival,Offline,200195,2,2573,unemployed,17
O141,C141,Suresh,Oil & Masala,Masalas,Bodi,04-04-2015,South,50,2500,50,0.12,1249,4,No festival,Offline,200195,2,2200,unemployed,1
O142,C142,Shah,Snacks,Cookies,Tirunelveli,04-04-2015,West,30,2490,83,0.29,1005,4,No festival,Offline,200195,1,1767.9,employed,18
O143,C143,Surya,Fruits & Veggies,Organic Fruits,Ooty,04-04-2015,South,300,3300,11,0.12,1246,4,No festival,Online,200195,3,2904,employed,6
O144,C144,Verma,Bakery,Cakes,Vellore,04-04-2015,South,300,2700,9,0.33,1302,4,No festival,Online,200195,1,1809,employed,20
O145,C145,Jonas,Fruits & Veggies,Fresh Fruits,Vellore,04-04-2015,Central,190,3040,16,0.2,1299,4,No festival,Offline,200195,3,2432,employed,7
O146,C146,Alan,Oil & Masala,Spices,Pudukottai,04-04-2015,Central,50,3300,66,0.16,1254,4,No festival,Offline,200195,2,2772,employed,1
O147,C147,James,"Eggs, Meat & Fish",Eggs,Theni,04-04-2015,West,6,2694,449,0.17,1394,4,No festival,Online,200195,4,2236.02,unemployed,19
O148,C148,Hafiz,Snacks,Chocolates,Cumbum,04-04-2015,South,10,3040,304,0.22,1315,4,No festival,Online,200195,1,2371.2,unemployed,11
O149,C149,Roshan,Food Grains,Atta & Flour,Tirunelveli,05-04-2015,East,40,3200,80,0.32,1120,4,No festival,Online,200195,5,2176,unemployed,11
O150,C150,Shree,Snacks,Chocolates,Nagercoil,05-04-2015,Central,10,2830,283,0.32,1071,4,No festival,Online,200195,1,1924.4,unemployed,2
O151,C151,Willams,Snacks,Chocolates,Ooty,05-04-2015,South,10,3190,319,0.19,1077,4,No festival,Offline,200195,1,2583.9,unemployed,6
O152,C152,Sheeba,Bakery,Biscuits,Kanyakumari,05-04-2015,Central,20,3100,155,0.26,1236,4,No festival,Offline,200195,1,2294,employed,10
O153,C153,Surya,"Eggs, Meat & Fish",Fish,Tenkasi,05-04-2015,South,600,3000,5,0.34,1152,4,No festival,Offline,200195,4,1980,employed,5
O154,C154,Vinne,Snacks,Cookies,Theni,05-04-2015,South,30,3000,100,0.19,1005,4,No festival,Online,200195,1,2430,employed,17
O155,C155,Mathew,Snacks,Cookies,Kanyakumari,05-04-2015,Central,30,2970,99,0.15,1114,4,No festival,Online,200195,1,2524.5,employed,4
O156,C156,Sudha,Oil & Masala,Masalas,Pudukottai,05-04-2015,South,50,2600,52,0.13,1075,4,No festival,Online,200195,2,2262,unemployed,7
O157,C157,Roshan,Beverages,Soft Drinks,Tenkasi,05-04-2015,South,20,2680,134,0.27,1046,4,No festival,Offline,200195,1,1956.4,employed,14
O158,C158,Veena,Oil & Masala,Masalas,Pudukottai,05-04-2015,Central,50,2750,55,0.19,1041,4,No festival,Online,200195,2,2227.5,unemployed,10
O159,C159,Krithika,Oil & Masala,Edible Oil & Ghee,Perambalur,05-04-2015,South,800,3200,4,0.27,1011,4,No festival,Offline,200195,2,2336,unemployed,19
O160,C160,Malik,Food Grains,Organic Staples,Vellore,05-04-2015,Central,100,2600,26,0.14,1246,4,No festival,Offline,200195,5,2236,unemployed,1
O161,C161,Mathew,Fruits & Veggies,Organic Vegetables,Vellore,05-04-2015,Central,200,2800,14,0.35,1064,4,No festival,Online,200195,3,1820,employed,7
O162,C162,Surya,Fruits & Veggies,Fresh Fruits,Pudukottai,06-04-2015,West,190,3040,16,0.11,1020,4,No festival,Offline,200195,3,2705.6,employed,7
O163,C163,Amy,Snacks,Cookies,Salem,06-04-2015,East,30,3330,111,0.27,1313,4,No festival,Online,200195,1,2430.9,unemployed,10
O164,C164,Alan,Beverages,Health Drinks,Tenkasi,06-04-2015,West,100,2600,26,0.33,1258,4,No festival,Online,200195,1,1742,unemployed,1
O165,C165,James,Oil & Masala,Masalas,Ramanadhapuram,06-04-2015,West,50,3000,60,0.23,1187,4,No festival,Offline,200195,2,2310,unemployed,4
O166,C166,Hussain,Snacks,Cookies,Tenkasi,06-04-2015,West,30,3240,108,0.11,1261,4,No festival,Online,200195,1,2883.6,employed,3
O167,C167,Peer,Fruits & Veggies,Fresh Fruits,Dharmapuri,06-04-2015,West,190,2660,14,0.3,1060,4,No festival,Offline,200195,3,1862,unemployed,1
O168,C168,Muneer,Beverages,Soft Drinks,Dindigul,06-04-2015,West,20,2620,131,0.31,1123,4,No festival,Online,200195,1,1807.8,employed,2
O169,C169,Amrish,Snacks,Cookies,Tirunelveli,06-04-2015,West,30,3060,102,0.26,1169,4,No festival,Offline,200195,1,2264.4,unemployed,20
O170,C170,Shree,"Eggs, Meat & Fish",Mutton,Kanyakumari,06-04-2015,West,400,3200,8,0.12,1111,4,No festival,Online,200195,4,2816,employed,20
O171,C171,Sudha,Snacks,Noodles,Krishnagiri,06-04-2015,West,100,2800,28,0.27,1274,4,No festival,Online,200195,1,2044,employed,13
O172,C172,Amrish,Bakery,Biscuits,Dindigul,06-04-2015,East,20,3080,154,0.29,1239,4,No festival,Online,200195,1,2186.8,employed,13
O173,C173,Komal,Beverages,Health Drinks,Trichy,06-04-2015,East,100,2600,26,0.18,1391,4,No festival,Offline,200195,1,2132,unemployed,11
O174,C174,Akash,"Eggs, Meat & Fish",Mutton,Kanyakumari,06-04-2015,East,400,2800,7,0.3,1357,4,No festival,Online,200195,4,1960,unemployed,17
O175,C175,Hafiz,Bakery,Breads & Buns,Dindigul,07-04-2015,South,30,2820,94,0.2,1284,4,No festival,Offline,200195,1,2256,unemployed,16
O176,C176,Hussain,Oil & Masala,Edible Oil & Ghee,Pudukottai,07-04-2015,South,800,2400,3,0.25,1043,4,No festival,Offline,200195,2,1800,employed,1
O177,C177,Mathew,Oil & Masala,Spices,Perambalur,07-04-2015,South,50,3050,61,0.21,1239,4,No festival,Online,200195,2,2409.5,unemployed,1
O178,C178,Willams,Fruits & Veggies,Organic Vegetables,Nagercoil,07-04-2015,South,200,3200,16,0.29,1071,4,No festival,Offline,200195,3,2272,employed,14
